CNTSTUID,ST001D01T,AGE,ST004D01T,IMMIG,ST082Q01NA,ST082Q02NA,ST082Q03NA,ST082Q08NA,ST082Q09NA,ST082Q12NA,ST082Q13NA,ST082Q14NA,ST034Q02TA,ST034Q05TA
12424235,9,15.5,1,1,3,3,3,4,3,3,3,3,2,2
12429006,9,16.33,1,3,3,4,3,3,3,3,3,3,3,2
12400971,9,15.67,2,1,3,3,4,3,4,4,4,4,2,2
12403107,9,15.92,2,1,3,2,3,3,3,3,3,3,3,2
12423545,10,15.67,1,1,3,3,3,3,3,3,3,3,2,2
12418402,10,15.75,1,3,3,3,3,3,3,3,3,3,2,2
12411395,10,15.75,1,1,2,4,4,4,3,4,3,999,1,2
12415721,10,16.33,1,1,3,4,4,4,2,3,3,2,3,2
12413484,10,15.5,1,1,3,3,3,3,4,3,4,4,4,4
12424308,10,15.92,1,1,4,3,3,3,3,3,4,3,1,2
12423243,10,15.92,1,1,1,2,2,2,2,2,1,1,4,4
12410963,10,15.92,1,1,3,4,3,3,4,4,4,4,4,2
12410470,10,16.33,1,1,3,4,3,3,3,3,3,3,2,2
12410687,10,16.33,1,3,1,3,3,3,3,3,2,2,2,2
12403075,10,15.42,1,1,3,4,3,3,1,3,2,3,2,2
12404052,10,16.17,1,1,1,3,3,3,1,4,1,3,2,2
12425137,10,15.92,1,1,4,3,3,3,4,4,3,4,2,2
12413651,10,15.58,2,1,3,3,3,3,3,3,3,3,1,2
12415074,10,16.33,2,1,2,3,3,3,2,3,3,3,1,2
12400360,10,16.33,2,3,2,4,4,4,4,4,3,4,2,1
12430066,10,15.67,2,1,2,3,2,2,2,2,2,2,3,2
12401230,10,16.25,2,1,2,3,3,3,3,4,3,3,2,2
12427048,10,16.33,2,1,3,4,3,3,3,4,4,4,1,1
12426490,10,15.92,2,1,1,2,1,1,1,1,1,1,1,2
12412200,10,15.67,2,1,3,4,3,3,4,3,4,4,2,1
12416958,9,15.42,1,999,3,3,3,3,2,3,3,3,2,2
12416017,10,15.58,1,1,3,3,3,3,3,3,3,3,2,2
12421359,10,15.42,1,1,3,3,4,3,4,3,3,3,2,3
12400042,10,16.17,1,1,3,3,4,4,2,4,3,4,2,2
12428669,10,16.08,1,1,3,2,4,3,4,3,4,4,2,3
12418844,10,15.58,1,1,3,2,4,4,2,4,3,3,2,1
12411073,10,15.67,2,999,4,4,4,4,2,4,4,4,3,4
12406211,10,15.92,2,1,2,3,3,3,1,4,1,2,2,2
12413890,10,15.92,2,1,4,2,3,3,4,3,3,4,2,2
12429391,10,16.08,2,1,3,3,3,3,3,3,3,3,1,2
12406411,10,16.25,2,1,3,3,3,3,3,3,3,3,3,2
12419664,10,16.25,2,999,3,3,4,4,4,3,4,4,1,2
12413415,10,15.67,2,1,3,3,3,3,3,3,3,3,2,3
12406568,9,15.42,1,1,4,4,3,3,3,3,3,4,1,1
12424232,10,15.83,1,1,3,3,3,3,3,3,3,3,2,1
12405331,10,16,1,1,3,3,3,3,4,3,4,4,3,3
12402232,10,15.58,1,1,3,3,4,4,4,3,3,4,1,1
12414475,10,15.67,1,1,3,3,3,3,3,3,3,3,2,2
12414783,10,15.58,1,1,3,3,3,3,3,3,3,3,1,2
12427277,10,15.67,1,1,3,3,3,3,3,3,3,3,2,2
12416550,10,16,1,1,1,3,3,3,1,1,1,1,1,2
12423090,10,15.58,1,3,3,3,4,3,3,4,3,4,2,3
12408520,10,15.75,1,1,4,4,4,4,4,4,4,4,1,1
12406807,10,15.75,2,1,2,3,3,3,2,3,2,2,2,4
12424400,10,15.58,2,1,3,3,3,3,3,3,3,3,2,2
12405069,10,16.25,2,1,3,2,3,3,3,2,2,3,3,2
12404821,10,16,2,1,2,3,3,3,3,3,3,3,1,2
12425473,10,15.67,2,1,3,3,3,3,3,3,3,3,2,2
12428117,10,15.5,2,1,2,3,3,3,3,3,2,3,2,2
12409672,10,16.17,2,1,2,4,4,3,1,3,1,3,1,1
12424775,10,16,2,999,999,999,999,999,999,999,999,999,999,999
12424113,10,15.92,2,3,4,3,4,3,4,3,3,3,2,2
12412027,10,16,2,1,4,3,3,3,4,4,4,4,2,2
12410774,10,15.33,1,2,4,4,4,4,4,4,4,4,2,2
12402323,10,16,1,1,2,3,3,3,2,3,3,3,1,2
12415022,10,16.17,1,1,3,3,2,2,2,2,2,2,2,2
12430788,10,15.5,1,1,3,3,3,3,3,3,3,4,1,2
12408887,10,15.42,1,1,2,3,3,3,2,3,1,2,2,2
12402951,10,15.92,1,1,3,3,4,4,3,4,4,4,2,3
12423230,10,16,1,1,3,3,3,3,3,3,3,3,2,2
12409167,10,15.5,1,3,3,3,4,4,3,4,4,4,4,4
12403395,10,15.5,1,1,3,3,3,2,3,3,3,3,3,2
12400193,10,15.58,1,3,3,3,3,3,2,3,3,3,3,2
12413039,10,15.75,1,1,2,4,4,3,3,3,3,3,2,2
12405831,10,16.08,2,1,4,3,3,3,4,3,3,4,2,2
12429423,10,16,2,999,999,999,999,999,999,999,999,999,999,999
12425376,10,15.75,2,2,3,3,3,3,3,4,3,4,2,2
12414853,10,16,2,1,3,3,3,3,4,3,3,3,2,2
12425453,10,16.08,2,2,3,2,3,3,3,3,3,3,2,2
